Link,Label Text,Rising Value,Line Number
https://trends.google.ca/trends/explore?q=musk+ambrette+puberty&date=now+7-d&geo=CA,musk ambrette puberty,Breakout,1
https://trends.google.ca/trends/explore?q=starbucks+going+cashless&date=now+7-d&geo=CA,starbucks going cashless,Breakout,2
https://trends.google.ca/trends/explore?q=musk+ambrette+early+puberty&date=now+7-d&geo=CA,musk ambrette early puberty,Breakout,3
https://trends.google.ca/trends/explore?q=sikh+shaved+brampton&date=now+7-d&geo=CA,sikh shaved brampton,Breakout,4
https://trends.google.ca/trends/explore?q=adam+sandler+happy+gilmore+2+cast&date=now+7-d&geo=CA,adam sandler happy gilmore 2 cast,Breakout,5
https://trends.google.ca/trends/explore?q=sikh+man+shaved+brampton+hospital&date=now+7-d&geo=CA,sikh man shaved brampton hospital,Breakout,6
https://trends.google.ca/trends/explore?q=peter+cushing+star+wars&date=now+7-d&geo=CA,peter cushing star wars,Breakout,7
https://trends.google.ca/trends/explore?q=youtuber+nikocado+avocado&date=now+7-d&geo=CA,youtuber nikocado avocado,Breakout,8
https://trends.google.ca/trends/explore?q=jason+kondo+toronto+police&date=now+7-d&geo=CA,jason kondo toronto police,Breakout,9
https://trends.google.ca/trends/explore?q=eastern+equine+encephalitis&date=now+7-d&geo=CA,eastern equine encephalitis,Breakout,10
https://trends.google.ca/trends/explore?q=arctic+blast+weather+forecast+met+office&date=now+7-d&geo=CA,arctic blast weather forecast met office,Breakout,11
https://trends.google.ca/trends/explore?q=revan+keanu+reeves+star+wars&date=now+7-d&geo=CA,revan keanu reeves star wars,Breakout,12
https://trends.google.ca/trends/explore?q=eastern+equine+encephalitis+virus&date=now+7-d&geo=CA,eastern equine encephalitis virus,Breakout,13
https://trends.google.ca/trends/explore?q=air+canada+pilots+strike&date=now+7-d&geo=CA,air canada pilots strike,Breakout,14
https://trends.google.ca/trends/explore?q=edward+cab%C3%A1n&date=now+7-d&geo=CA,edward cabán,Breakout,15
https://trends.google.ca/trends/explore?q=greenland+tsunami+wave&date=now+7-d&geo=CA,greenland tsunami wave,Breakout,16
https://trends.google.ca/trends/explore?q=sikh+patient+shaved+without+consent&date=now+7-d&geo=CA,sikh patient shaved without consent,Breakout,17
https://trends.google.ca/trends/explore?q=canton+ohio+eating+cat&date=now+7-d&geo=CA,canton ohio eating cat,Breakout,18
https://trends.google.ca/trends/explore?q=leonard+leo&date=now+7-d&geo=CA,leonard leo,Breakout,19
https://trends.google.ca/trends/explore?q=ken+wong+pne+prize+home&date=now+7-d&geo=CA,ken wong pne prize home,Breakout,20
https://trends.google.ca/trends/explore?q=cinnamon+spice&date=now+7-d&geo=CA,cinnamon spice,Breakout,21
https://trends.google.ca/trends/explore?q=air+canada+strike+flights&date=now+7-d&geo=CA,air canada strike flights,"+4,550%",22
https://trends.google.ca/trends/explore?q=acetaminophen+recall+canada&date=now+7-d&geo=CA,acetaminophen recall canada,"+4,050%",23
https://trends.google.ca/trends/explore?q=health+canada+recalls&date=now+7-d&geo=CA,health canada recalls,"+3,200%",24
https://trends.google.ca/trends/explore?q=frigid+star+wars+planet&date=now+7-d&geo=CA,frigid star wars planet,"+2,850%",25
