Link,Label Text,Rising Value,Line Number
https://trends.google.ca/trends/explore?q=peter+cushing+star+wars&date=now+7-d&geo=CA,peter cushing star wars,Breakout,1
https://trends.google.ca/trends/explore?q=musk+ambrette+puberty&date=now+7-d&geo=CA,musk ambrette puberty,Breakout,2
https://trends.google.ca/trends/explore?q=starbucks+going+cashless&date=now+7-d&geo=CA,starbucks going cashless,Breakout,3
https://trends.google.ca/trends/explore?q=musk+ambrette+early+puberty&date=now+7-d&geo=CA,musk ambrette early puberty,Breakout,4
https://trends.google.ca/trends/explore?q=sikh+shaved+brampton&date=now+7-d&geo=CA,sikh shaved brampton,Breakout,5
https://trends.google.ca/trends/explore?q=sikh+man+shaved+brampton+hospital&date=now+7-d&geo=CA,sikh man shaved brampton hospital,Breakout,6
https://trends.google.ca/trends/explore?q=adam+sandler+happy+gilmore+2+cast&date=now+7-d&geo=CA,adam sandler happy gilmore 2 cast,Breakout,7
https://trends.google.ca/trends/explore?q=youtuber+nikocado+avocado&date=now+7-d&geo=CA,youtuber nikocado avocado,Breakout,8
https://trends.google.ca/trends/explore?q=arctic+blast+weather+forecast+met+office&date=now+7-d&geo=CA,arctic blast weather forecast met office,Breakout,9
https://trends.google.ca/trends/explore?q=edward+cab%C3%A1n&date=now+7-d&geo=CA,edward cabán,Breakout,10
https://trends.google.ca/trends/explore?q=air+canada+pilots+strike&date=now+7-d&geo=CA,air canada pilots strike,Breakout,11
https://trends.google.ca/trends/explore?q=sikh+patient+shaved+without+consent&date=now+7-d&geo=CA,sikh patient shaved without consent,Breakout,12
https://trends.google.ca/trends/explore?q=archie+leach+london+ontario&date=now+7-d&geo=CA,archie leach london ontario,Breakout,13
https://trends.google.ca/trends/explore?q=eastern+equine+encephalitis+virus&date=now+7-d&geo=CA,eastern equine encephalitis virus,Breakout,14
https://trends.google.ca/trends/explore?q=springfield+ohio+mayor&date=now+7-d&geo=CA,springfield ohio mayor,Breakout,15
https://trends.google.ca/trends/explore?q=long+snouted+vine+snake&date=now+7-d&geo=CA,long snouted vine snake,Breakout,16
https://trends.google.ca/trends/explore?q=canton+ohio+eating+cat&date=now+7-d&geo=CA,canton ohio eating cat,Breakout,17
https://trends.google.ca/trends/explore?q=lego+star+wars+2+release+date&date=now+7-d&geo=CA,lego star wars 2 release date,Breakout,18
https://trends.google.ca/trends/explore?q=leonard+leo&date=now+7-d&geo=CA,leonard leo,Breakout,19
https://trends.google.ca/trends/explore?q=air+canada+strike+flights&date=now+7-d&geo=CA,air canada strike flights,"+4,800%",20
https://trends.google.ca/trends/explore?q=star+wars+mini+fridge&date=now+7-d&geo=CA,star wars mini fridge,"+4,650%",21
https://trends.google.ca/trends/explore?q=health+canada+recalls&date=now+7-d&geo=CA,health canada recalls,"+4,050%",22
https://trends.google.ca/trends/explore?q=jason+kondo+toronto+police&date=now+7-d&geo=CA,jason kondo toronto police,"+1,750%",23
https://trends.google.ca/trends/explore?q=revan+keanu+reeves+star+wars&date=now+7-d&geo=CA,revan keanu reeves star wars,"+1,500%",24
https://trends.google.ca/trends/explore?q=clint+eastwood&date=now+7-d&geo=CA,clint eastwood,"+1,150%",25
