Query,Line Number,Seed,Link,Rising Value,idType,tagType,Date
American Horror Story,1,Gavin creel,https://trends.google.ca/trends/explore?q=gavin+creel&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
American Horror Story,2,Gavin creel american horror stories,https://trends.google.ca/trends/explore?q=gavin+creel+american+horror+stories&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
American Horror Story,3,American horror story actor dies,https://trends.google.ca/trends/explore?q=american+horror+story+actor+dies&date=now+7-d&geo=US,Breakout,216,TV Show,2024-10-03
American Horror Story,4,Ma petite dying scene,https://trends.google.ca/trends/explore?q=ma+petite+dying+scene&date=now+7-d&geo=US,+750%,216,TV Show,2024-10-03
American Horror Story,5,Ma petite movie,https://trends.google.ca/trends/explore?q=ma+petite+movie&date=now+7-d&geo=US,+750%,216,TV Show,2024-10-03
American Horror Story,6,Troy american horror story,https://trends.google.ca/trends/explore?q=troy+american+horror+story&date=now+7-d&geo=US,+600%,216,TV Show,2024-10-03
American Horror Story,7,American horror story ma petite,https://trends.google.ca/trends/explore?q=american+horror+story+ma+petite&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
American Horror Story,8,Ma petite,https://trends.google.ca/trends/explore?q=ma+petite&date=now+7-d&geo=US,+350%,216,TV Show,2024-10-03
American Horror Story,9,Grotesquerie episodes,https://trends.google.ca/trends/explore?q=grotesquerie+episodes&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
American Horror Story,10,American horror story freak show ma petite,https://trends.google.ca/trends/explore?q=american+horror+story+freak+show+ma+petite&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
American Horror Story,11,American horror story ma petite death,https://trends.google.ca/trends/explore?q=american+horror+story+ma+petite+death&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
American Horror Story,12,Ma petite death,https://trends.google.ca/trends/explore?q=ma+petite+death&date=now+7-d&geo=US,+300%,216,TV Show,2024-10-03
American Horror Story,13,American horror story ma petite episode,https://trends.google.ca/trends/explore?q=american+horror+story+ma+petite+episode&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
American Horror Story,14,Cast of grotesquerie,https://trends.google.ca/trends/explore?q=cast+of+grotesquerie&date=now+7-d&geo=US,+250%,216,TV Show,2024-10-03
American Horror Story,15,Grotesquerie cast,https://trends.google.ca/trends/explore?q=grotesquerie+cast&date=now+7-d&geo=US,+190%,216,TV Show,2024-10-03
American Horror Story,16,American horror story little person,https://trends.google.ca/trends/explore?q=american+horror+story+little+person&date=now+7-d&geo=US,+170%,216,TV Show,2024-10-03
American Horror Story,17,Who created american horror story,https://trends.google.ca/trends/explore?q=who+created+american+horror+story&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
American Horror Story,18,Dell american horror story,https://trends.google.ca/trends/explore?q=dell+american+horror+story&date=now+7-d&geo=US,+160%,216,TV Show,2024-10-03
American Horror Story,19,Jyoti amge,https://trends.google.ca/trends/explore?q=jyoti+amge&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
American Horror Story,20,Is grotesquerie american horror story,https://trends.google.ca/trends/explore?q=is+grotesquerie+american+horror+story&date=now+7-d&geo=US,+100%,216,TV Show,2024-10-03
American Horror Story,21,Nicholas alexander chavez,https://trends.google.ca/trends/explore?q=nicholas+alexander+chavez&date=now+7-d&geo=US,+90%,216,TV Show,2024-10-03
American Horror Story,22,Niecy nash,https://trends.google.ca/trends/explore?q=niecy+nash&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
American Horror Story,23,American horror story grotesquerie,https://trends.google.ca/trends/explore?q=american+horror+story+grotesquerie&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
American Horror Story,24,Who made american horror story,https://trends.google.ca/trends/explore?q=who+made+american+horror+story&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
American Horror Story,25,Grotesquerie,https://trends.google.ca/trends/explore?q=grotesquerie&date=now+7-d&geo=US,+80%,216,TV Show,2024-10-03
